C:\strawberry\perl\site\bin/pp: Packing simple.pl
C:\strawberry\perl\site\bin/pp: Writing PAR on C:\Users\THEQUI~1\AppData\Local\Temp\ppbfdLt.par
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Encode/Encoding.pm as lib/Encode/Encoding.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Errno.pm as lib/Errno.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Exporter.pm as lib/Exporter.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Exporter/Heavy.pm as lib/Exporter/Heavy.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Fatal.pm as lib/Fatal.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Fcntl.pm as lib/Fcntl.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Basename.pm as lib/File/Basename.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Copy.pm as lib/File/Copy.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Find.pm as lib/File/Find.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Path.pm as lib/File/Path.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Spec.pm as lib/File/Spec.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Spec/Unix.pm as lib/File/Spec/Unix.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/File/Spec/Win32.pm as lib/File/Spec/Win32.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/FindBin.pm as lib/FindBin.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Getopt/Long.pm as lib/Getopt/Long.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/IO.pm as lib/IO.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/IO/File.pm as lib/IO/File.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/IO/Handle.pm as lib/IO/Handle.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/IO/Seekable.pm as lib/IO/Seekable.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/List/Util.pm as lib/List/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/MIME/Base64.pm as lib/MIME/Base64.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/MIME/QuotedPrint.pm as lib/MIME/QuotedPrint.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo.pm as lib/Mojo.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Asset.pm as lib/Mojo/Asset.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Asset/File.pm as lib/Mojo/Asset/File.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Asset/Memory.pm as lib/Mojo/Asset/Memory.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Base.pm as lib/Mojo/Base.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/ByteStream.pm as lib/Mojo/ByteStream.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Cache.pm as lib/Mojo/Cache.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Command.pm as lib/Mojo/Command.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Content.pm as lib/Mojo/Content.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Content/MultiPart.pm as lib/Mojo/Content/MultiPart.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Content/Single.pm as lib/Mojo/Content/Single.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Cookie.pm as lib/Mojo/Cookie.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Cookie/Request.pm as lib/Mojo/Cookie/Request.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Cookie/Response.pm as lib/Mojo/Cookie/Response.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/DOM.pm as lib/Mojo/DOM.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/DOM/CSS.pm as lib/Mojo/DOM/CSS.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/DOM/Collection.pm as lib/Mojo/DOM/Collection.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/DOM/HTML.pm as lib/Mojo/DOM/HTML.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Date.pm as lib/Mojo/Date.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Exception.pm as lib/Mojo/Exception.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Headers.pm as lib/Mojo/Headers.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Home.pm as lib/Mojo/Home.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/JSON.pm as lib/Mojo/JSON.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Loader.pm as lib/Mojo/Loader.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Log.pm as lib/Mojo/Log.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Message.pm as lib/Mojo/Message.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Message/Request.pm as lib/Mojo/Message/Request.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Message/Response.pm as lib/Mojo/Message/Response.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Parameters.pm as lib/Mojo/Parameters.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Path.pm as lib/Mojo/Path.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Server.pm as lib/Mojo/Server.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Template.pm as lib/Mojo/Template.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Transaction.pm as lib/Mojo/Transaction.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Transaction/HTTP.pm as lib/Mojo/Transaction/HTTP.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Transaction/WebSocket.pm as lib/Mojo/Transaction/WebSocket.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/URL.pm as lib/Mojo/URL.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Upload.pm as lib/Mojo/Upload.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojo/Util.pm as lib/Mojo/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious.pm as lib/Mojolicious.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Commands.pm as lib/Mojolicious/Commands.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Controller.pm as lib/Mojolicious/Controller.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Lite.pm as lib/Mojolicious/Lite.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin.pm as lib/Mojolicious/Plugin.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/CallbackCondition.pm as lib/Mojolicious/Plugin/CallbackCondition.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/DefaultHelpers.pm as lib/Mojolicious/Plugin/DefaultHelpers.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/EpRenderer.pm as lib/Mojolicious/Plugin/EpRenderer.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/EplRenderer.pm as lib/Mojolicious/Plugin/EplRenderer.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/HeaderCondition.pm as lib/Mojolicious/Plugin/HeaderCondition.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/PoweredBy.pm as lib/Mojolicious/Plugin/PoweredBy.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/RequestTimer.pm as lib/Mojolicious/Plugin/RequestTimer.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugin/TagHelpers.pm as lib/Mojolicious/Plugin/TagHelpers.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Plugins.pm as lib/Mojolicious/Plugins.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Renderer.pm as lib/Mojolicious/Renderer.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Routes.pm as lib/Mojolicious/Routes.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Routes/Match.pm as lib/Mojolicious/Routes/Match.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Routes/Pattern.pm as lib/Mojolicious/Routes/Pattern.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Sessions.pm as lib/Mojolicious/Sessions.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Static.pm as lib/Mojolicious/Static.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/site/lib/Mojolicious/Types.pm as lib/Mojolicious/Types.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/POSIX.pm as lib/POSIX.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Scalar/Util.pm as lib/Scalar/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/SelectSaver.pm as lib/SelectSaver.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Symbol.pm as lib/Symbol.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Tie/Hash.pm as lib/Tie/Hash.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Tie/RefHash.pm as lib/Tie/RefHash.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Time/HiRes.pm as lib/Time/HiRes.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Time/Local.pm as lib/Time/Local.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Win32.pm as lib/Win32.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/XSLoader.pm as lib/XSLoader.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/B/B.dll as lib/auto/B/B.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Cwd/Cwd.bs as lib/auto/Cwd/Cwd.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Cwd/Cwd.dll as lib/auto/Cwd/Cwd.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Data/Dumper/Dumper.bs as lib/auto/Data/Dumper/Dumper.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Data/Dumper/Dumper.dll as lib/auto/Data/Dumper/Dumper.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Digest/MD5/MD5.bs as lib/auto/Digest/MD5/MD5.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Digest/MD5/MD5.dll as lib/auto/Digest/MD5/MD5.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Digest/SHA/SHA.bs as lib/auto/Digest/SHA/SHA.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Digest/SHA/SHA.dll as lib/auto/Digest/SHA/SHA.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Encode/Encode.bs as lib/auto/Encode/Encode.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Encode/Encode.dll as lib/auto/Encode/Encode.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Fcntl/Fcntl.dll as lib/auto/Fcntl/Fcntl.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/IO/IO.dll as lib/auto/IO/IO.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/List/Util/Util.bs as lib/auto/List/Util/Util.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/List/Util/Util.dll as lib/auto/List/Util/Util.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/MIME/Base64/Base64.bs as lib/auto/MIME/Base64/Base64.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/MIME/Base64/Base64.dll as lib/auto/MIME/Base64/Base64.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/POSIX/POSIX.dll as lib/auto/POSIX/POSIX.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/POSIX/autosplit.ix as lib/auto/POSIX/autosplit.ix
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Time/HiRes/HiRes.bs as lib/auto/Time/HiRes/HiRes.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Time/HiRes/HiRes.dll as lib/auto/Time/HiRes/HiRes.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Win32/Win32.bs as lib/auto/Win32/Win32.bs
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/auto/Win32/Win32.dll as lib/auto/Win32/Win32.dll
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/autodie.pm as lib/autodie.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/autodie/exception.pm as lib/autodie/exception.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/base.pm as lib/base.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/bytes.pm as lib/bytes.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/constant.pm as lib/constant.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/feature.pm as lib/feature.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/if.pm as lib/if.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/integer.pm as lib/integer.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/overload.pm as lib/overload.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/re.pm as lib/re.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/strict.pm as lib/strict.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/vars.pm as lib/vars.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/warnings.pm as lib/warnings.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/warnings/register.pm as lib/warnings/register.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as MANIFEST
C:\strawberry\perl\site\bin/pp: ... adding <string> as META.yml
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/AutoLoader.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/B.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Carp.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Carp/Heavy.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Config.pm
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Config_git.pl as lib/Config_git.pl
C:\strawberry\perl\site\bin/pp: ... adding C:/strawberry/perl/lib/Config_heavy.pl as lib/Config_heavy.pl
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Cwd.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Data/Dumper.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Digest/MD5.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Digest/SHA.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Digest/base.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/DynaLoader.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Encode.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Encode/Alias.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Encode/Config.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Encode/Encoding.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Errno.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Exporter.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Exporter/Heavy.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Fatal.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Fcntl.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Basename.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Copy.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Find.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Path.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Spec.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Spec/Unix.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/File/Spec/Win32.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/FindBin.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Getopt/Long.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/IO.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/IO/File.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/IO/Handle.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/IO/Seekable.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/List/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/MIME/Base64.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/MIME/QuotedPrint.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Asset.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Asset/File.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Asset/Memory.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Base.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/ByteStream.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Cache.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Command.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Content.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Content/MultiPart.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Content/Single.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Cookie.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Cookie/Request.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Cookie/Response.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/DOM.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/DOM/CSS.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/DOM/Collection.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/DOM/HTML.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Date.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Exception.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Headers.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Home.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/JSON.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Loader.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Log.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Message.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Message/Request.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Message/Response.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Parameters.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Path.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Server.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Template.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Transaction.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Transaction/HTTP.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Transaction/WebSocket.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/URL.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Upload.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojo/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Commands.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Controller.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Lite.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/CallbackCondition.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/DefaultHelpers.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/EpRenderer.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/EplRenderer.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/HeaderCondition.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/PoweredBy.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/RequestTimer.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugin/TagHelpers.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Plugins.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Renderer.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Routes.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Routes/Match.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Routes/Pattern.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Sessions.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Static.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Mojolicious/Types.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/POSIX.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/Scalar/Util.pm
C:\strawberry\perl\site\bin/pp: ... adding <string> as lib/SelectSaver.pm
